"DataExtractDate","ReportPeriod","Terminal","Arrival_Departure","Domestic_International","Passenger_Count"
"2018 Apr 18 03:12:41 PM","2012 Oct 01 12:00:00 AM","T4","Arrival","Domestic","431,072"
"2018 Apr 18 03:12:41 PM","2014 May 01 12:00:00 AM","T6","Departure","International","79,132"
"2020 Feb 28 08:21:30 AM","2020 Jan 01 12:00:00 AM","T4","Departure","Domestic","363,367"
"2018 Apr 18 03:12:41 PM","2013 Jul 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","86,452"
"2018 Apr 18 03:12:41 PM","2007 Nov 01 12:00:00 AM","T1","Departure","Domestic","397,301"
"2018 Apr 18 03:12:41 PM","2006 Aug 01 12:00:00 AM","T7","Arrival","Domestic","297,564"
"2021 Jan 10 06:01:37 AM","2020 Dec 01 12:00:00 AM","T7","Arrival","Domestic","116,740"
"2018 Apr 18 03:12:41 PM","2008 Feb 01 12:00:00 AM","Imperial Terminal","Departure","Domestic","33"
"2018 Apr 18 03:12:41 PM","2008 Feb 01 12:00:00 AM","TBIT","Arrival","International","337,764"
"2018 Apr 18 03:12:41 PM","2015 Feb 01 12:00:00 AM","T2","Arrival","International","137,465"
"2018 Apr 18 03:12:41 PM","2012 Jan 01 12:00:00 AM","T7","Departure","International","32,135"
"2018 Apr 18 03:12:41 PM","2010 Jun 01 12:00:00 AM","T4","Arrival","Domestic","396,418"
"2018 Apr 18 03:12:41 PM","2013 Oct 01 12:00:00 AM","T2","Arrival","International","189,822"
"2018 Aug 21 11:02:45 AM","2018 Jul 01 12:00:00 AM","T6","Arrival","Domestic","281,527"
"2018 Apr 18 03:12:41 PM","2011 Feb 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","20"
"2018 Apr 18 03:12:41 PM","2008 Apr 01 12:00:00 AM","Imperial Terminal","Departure","Domestic","143"
"2019 Apr 29 01:10:30 PM","2019 Mar 01 12:00:00 AM","T1","Departure","Domestic","425,854"
"2020 Jan 22 06:57:11 AM","2019 Dec 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","122,887"
"2019 Mar 01 11:09:59 AM","2019 Jan 01 12:00:00 AM","T2","Arrival","International","76,661"
"2018 Apr 18 03:12:41 PM","2016 Apr 01 12:00:00 AM","T4","Arrival","International","20,911"
"2018 Dec 26 06:52:40 AM","2018 Nov 01 12:00:00 AM","T8","Departure","International","7,797"
"2018 Apr 18 03:12:41 PM","2011 Sep 01 12:00:00 AM","T8","Departure","International","7,941"
"2020 Apr 08 09:58:08 AM","2020 Feb 01 12:00:00 AM","T5","Arrival","Domestic","307,828"
"2018 Apr 18 03:12:41 PM","2006 Aug 01 12:00:00 AM","TBIT","Arrival","Domestic","2,560"
"2018 Apr 18 03:12:41 PM","2008 May 01 12:00:00 AM","T6","Arrival","Domestic","235,748"
"2018 Apr 18 03:12:41 PM","2011 Aug 01 12:00:00 AM","T4","Departure","International","43,582"
"2018 Apr 18 03:12:41 PM","2010 Nov 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","7"
"2018 May 23 07:44:39 AM","2018 Apr 01 12:00:00 AM","T4","Departure","International","63,694"
"2019 Aug 23 03:41:00 PM","2019 Jul 01 12:00:00 AM","T8","Arrival","Domestic","167,974"
"2018 Apr 18 03:12:41 PM","2013 May 01 12:00:00 AM","T6","Arrival","International","48,809"
"2018 Apr 18 03:12:41 PM","2013 May 01 12:00:00 AM","T2","Departure","Domestic","32,629"
"2018 Aug 21 11:02:45 AM","2018 Jul 01 12:00:00 AM","T7","Departure","International","60,226"
"2018 Apr 18 03:12:41 PM","2007 Dec 01 12:00:00 AM","TBIT","Departure","International","369,683"
